
2025/03/20 (17:45:29) | ===> btop++ v.1.4.0
2025/03/20 (17:45:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (17:46:50) | ===> btop++ v.1.4.0
2025/03/20 (17:46:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (17:47:44) | ===> btop++ v.1.4.0
2025/03/20 (17:47:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (17:57:42) | ===> btop++ v.1.4.0
2025/03/20 (17:57:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (18:36:35) | ===> btop++ v.1.4.0
2025/03/20 (18:36:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (12:52:20) | ===> btop++ v.1.4.0
2025/03/21 (12:52:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (15:11:49) | ===> btop++ v.1.4.0
2025/03/21 (15:11:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (22:06:41) | ===> btop++ v.1.4.0
2025/03/21 (22:06:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (03:00:58) | ===> btop++ v.1.4.0
2025/03/22 (03:00:58) | WARNING: Intel GPU: Failed to initialize PMU
